regatta_id,race_id,date,start_time,race_no,event,round,distance_m,lane,seed,team_name,team_id,place,time,page
2025_CCNC,2025_CCNC-1,2025-10-17,07:30,1,senior B mixed,round 1,500,1,,Windy City Dragons Mundelein,,1,2:18.509,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-1,2025-10-17,07:30,1,senior B mixed,round 1,500,3,,Southbreeze Long Beach,,2,2:18.919,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-1,2025-10-17,07:30,1,senior B mixed,round 1,500,2,,NBP Paddling Sarasota,,3,2:20.035,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-1,2025-10-17,07:30,1,senior B mixed,round 1,500,6,,Lone Star Dragons Houston,,4,2:24.129,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-1,2025-10-17,07:30,1,senior B mixed,round 1,500,4,,HEAT Dragon Boat Club The Villages,,5,2:27.783,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-1,2025-10-17,07:30,1,senior B mixed,round 1,500,5,,Seattle SAKE Senior B,,6,2:30.615,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-2,2025-10-17,07:39,2,PD-2 open,round 1,500,2,,Adaptive Fusion Long Beach,,1,2:17.932,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-2,2025-10-17,07:39,2,ACP open,round 1,500,4,,Rose City Rockets Banks,,1,2:36.952,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-3,2025-10-17,07:48,3,premier open,round 1,500,4,,Catch22 Open NYC,,1,2:12.752,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-3,2025-10-17,07:48,3,premier open,round 1,500,1,,UEAA Dragon Boat NYC New York,,2,2:13.218,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-3,2025-10-17,07:48,3,premier open,round 1,500,3,,Pennsylvania DBC Philadelphia,,3,2:16.866,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-3,2025-10-17,07:48,3,premier open,round 1,500,2,,Boston Titans Boat Club,,4,2:19.176,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-3,2025-10-17,07:48,3,premier open,round 1,500,5,,Red Dragons Miami,,5,2:26.746,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-4,2025-10-17,08:06,4,senior C mixed,round 1,500,2,,SACA Golden Dragons Tampa,,1,2:27.651,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-4,2025-10-17,08:06,4,senior C mixed,round 1,500,4,,NBP Paddling Sarasota,,2,2:29.299,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-4,2025-10-17,08:06,4,senior C mixed,round 1,500,3,,Blazing Paddles Plantation,,3,2:41.953,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-4,2025-10-17,08:06,4,senior C mixed,round 1,500,5,,"Leatherneck Warriors C The Villages, FL",,4,2:42.949,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-4,2025-10-17,08:06,4,senior C mixed,round 1,500,1,,Jax Fire Dragons Jacksonville,,5,2:43.617,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-5,2025-10-17,08:15,5,senior C mixed,round 1,500,3,,Philadelphia Dragon Boat Assoc Lafayette Hill,,1,2:10.696,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-5,2025-10-17,08:15,5,senior C mixed,round 1,500,4,,HEAT Dragon Boat Club The Villages,,2,2:23.478,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-5,2025-10-17,08:15,5,senior C mixed,round 1,500,2,,Seattle SAKE Senior C,,3,2:28.784,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-6,2025-10-17,08:24,6,premier women,heat 1,500,3,,UEAA Dragon Boat NYC New York,,1,2:30.709,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-6,2025-10-17,08:24,6,premier women,heat 1,500,4,,Arizona Sunsoon Tempe,,2,2:30.803,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-6,2025-10-17,08:24,6,premier women,heat 1,500,2,,DCDBC - Cherry Bombs Washington,,3,2:32.949,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-6,2025-10-17,08:24,6,premier women,heat 1,500,5,,Philadelphia Flying Phoenix,,4,2:39.425,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-7,2025-10-17,08:33,7,premier women,round 1,500,1,,Southbreeze Long Beach,,1,2:09.584,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-7,2025-10-17,08:33,7,premier women,round 1,500,2,,Boston BBB DBC,,2,2:11.204,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-7,2025-10-17,08:33,7,premier women,round 1,500,3,,Lone Star Dragons Houston,,3,2:16.700,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-7,2025-10-17,08:33,7,senior B women,round 1,500,5,,Bucks Dragon Boat Fusion Newtown,,1,2:14.966,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-8,2025-10-17,08:42,8,senior A open,round 1,500,5,,UNYTED Queens,,1,2:14.968,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-8,2025-10-17,08:42,8,senior A open,round 1,500,4,,NBP Paddling Sarasota,,2,2:15.580,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-8,2025-10-17,08:42,8,senior A open,round 1,500,2,,Southbreeze Long Beach,,3,2:16.818,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-8,2025-10-17,08:42,8,senior A open,round 1,500,3,,Windy City Dragons Mundelein,,4,2:19.758,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-9,2025-10-17,08:51,9,senior A open,round 1,500,2,,Bucks Dragon Boat Fusion Newtown,,1,2:04.602,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-9,2025-10-17,08:51,9,senior A open,round 1,500,1,,DCDBC - District Daddies Washington,,2,2:05.450,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-9,2025-10-17,08:51,9,senior A open,round 1,500,3,,San Francisco Dragon Warriors,,3,2:14.430,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-9,2025-10-17,08:51,9,senior C open,round 1,500,5,,Philadelphia Dragon Boat Assoc Lafayette Hill,,1,2:10.008,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-10,2025-10-17,09:00,10,senior B women,round 1,500,2,,Philadelphia Dragon Boat Assoc Lafayette Hill,,1,2:26.158,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-10,2025-10-17,09:00,10,senior B women,round 1,500,4,,NBP Paddling Sarasota,,2,2:32.838,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-10,2025-10-17,09:00,10,senior B women,round 1,500,1,,SACA Golden Dragons Tampa,,3,2:33.128,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-10,2025-10-17,09:00,10,senior B women,round 1,500,3,,Cooper River Dragon Boat Club Pennsauken,,4,2:43.390,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-10,2025-10-17,09:00,10,senior B women,round 1,500,5,,Red Dragons Miami,,5,2:49.908,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-11,2025-10-17,09:09,11,premier women,heat 2,500,4,,Catch22 Paddle Queens NYC,,1,2:32.903,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-11,2025-10-17,09:09,11,premier women,heat 2,500,2,,Windwomen San Francisco,,2,2:33.707,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-11,2025-10-17,09:09,11,premier women,heat 2,500,3,,Pennsylvania DBC Philadelphia,,3,2:33.967,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-11,2025-10-17,09:09,11,premier women,heat 2,500,5,,Ohana New England - ONE Women Boston,,4,2:37.213,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-12,2025-10-17,09:27,12,premier open,heat 1,500,3,,Southbreeze Long Beach,,1,1:59.590,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-12,2025-10-17,09:27,12,premier open,heat 1,500,2,,Lone Star Dragons Houston,,2,2:03.954,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-12,2025-10-17,09:27,12,premier open,heat 1,500,4,,Phoenix Heat Canoe Club Tempe,,3,3:28.054,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-13,2025-10-17,09:36,13,senior A women,round 1,500,4,,Southbreeze Long Beach,,1,2:31.398,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-13,2025-10-17,09:36,13,senior A women,round 1,500,1,,Philadelphia Dragon Boat Assoc Lafayette Hill,,2,2:32.602,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-13,2025-10-17,09:36,13,senior A women,round 1,500,5,,Windy City Dragons Mundelein,,3,2:34.064,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-13,2025-10-17,09:36,13,senior A women,round 1,500,6,,JDBC Flash Jacksonville Beach,,4,2:37.584,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-13,2025-10-17,09:36,13,senior A women,round 1,500,2,,DCDBC - First Ladies Washington,,5,2:49.776,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-13,2025-10-17,09:36,13,senior A women,round 1,500,3,,NJ Dragon Boat Club Lake Parsippany,,6,3:01.614,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-14,2025-10-17,09:45,14,premier open,heat 2,500,3,,Boston BBB DBC,,1,1:57.823,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-14,2025-10-17,09:45,14,premier open,heat 2,500,4,,Northwind San Francisco,,2,1:59.677,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-14,2025-10-17,09:45,14,premier open,heat 2,500,2,,Ohana New England - ONE Open Boston,,3,2:04.549,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-14,2025-10-17,09:45,14,premier open,heat 2,500,5,,San Francisco Dragon Warriors,,4,2:07.343,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-15,2025-10-17,09:54,15,PD-1 open,round 1,500,2,,Adaptive Fusion Long Beach,,1,2:37.612,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-15,2025-10-17,09:54,15,PD-1 open,round 1,500,1,,Out of Sight Dragons Washington,,2,3:13.496,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-15,2025-10-17,09:54,15,senior D women,round 1,500,4,,Seattle SAKE Senior D,,1,3:06.002,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-15,2025-10-17,09:54,15,senior D women,round 1,500,5,,Cooper River Dragon Boat Club Pennsauken,,2,3:11.806,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-15,2025-10-17,09:54,15,senior D women,round 1,500,6,,Phila Flying Phoenix Platinum Philadelphia,,3,3:24.752,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-16,2025-10-17,10:03,16,senior B mixed,round 1,500,4,,Philadelphia Dragon Boat Assoc Lafayette Hill,,1,2:05.128,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-16,2025-10-17,10:03,16,senior B mixed,round 1,500,2,,Bucks Dragon Boat Fusion Newtown,,2,2:05.138,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-16,2025-10-17,10:03,16,senior B mixed,round 1,500,5,,SACA Golden Dragons Tampa,,3,2:15.409,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-16,2025-10-17,10:03,16,senior B mixed,round 1,500,3,,DCDBC - Capitol Thunder Washington,,4,2:18.721,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-17,2025-10-17,10:30,17,PD-2 open,round 1,500,1,,The Collective Peachtree City,,1,2:47.599,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-17,2025-10-17,10:30,17,PD-2 open,round 1,500,2,,Out of Sight Dragons Washington,,2,3:00.344,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-17,2025-10-17,10:30,17,senior D open,round 1,500,4,,HEAT Dragon Boat Club The Villages,,1,2:50.070,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-17,2025-10-17,10:30,17,24u mixed,round 1,500,6,,Southbreeze Long Beach,,1,2:28.560,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-18,2025-10-17,10:39,18,senior A mixed,round 1,500,5,,Southbreeze Long Beach,,1,2:10.136,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-18,2025-10-17,10:39,18,senior A mixed,round 1,500,2,,Lone Star Dragons Houston,,2,2:11.714,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-18,2025-10-17,10:39,18,senior A mixed,round 1,500,3,,JDBC Flash Jacksonville Beach,,3,2:13.660,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-18,2025-10-17,10:39,18,senior A mixed,round 1,500,4,,San Francisco Dragon Warriors,,4,2:18.062,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-19,2025-10-17,10:48,19,senior C women,round 1,500,2,,Philadelphia Dragon Boat Assoc Lafayette Hill,,1,2:33.539,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-19,2025-10-17,10:48,19,senior C women,round 1,500,1,,Heart and Soul Indian Harbor Beach,,2,2:36.949,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-19,2025-10-17,10:48,19,senior C women,round 1,500,3,,WAM Renton,,3,2:45.531,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-19,2025-10-17,10:48,19,BCP mixed,round 1,500,5,,Survivors In Sync Sarasota,,1,2:51.025,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-20,2025-10-17,10:57,20,senior A mixed,round 1,500,6,,Bucks Dragon Boat Fusion Newtown,,1,2:20.130,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-20,2025-10-17,10:57,20,senior A mixed,round 1,500,2,,SACA Golden Dragons Tampa,,2,2:24.658,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-20,2025-10-17,10:57,20,senior A mixed,round 1,500,3,,Windy City Dragons Mundelein,,3,2:26.330,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-20,2025-10-17,10:57,20,senior A mixed,round 1,500,5,,Mekong Dragons Brookhaven,,4,2:26.891,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-20,2025-10-17,10:57,20,senior A mixed,round 1,500,1,,DCDBC - Capitol Thunder Washington,,5,2:29.873,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-20,2025-10-17,10:57,20,senior A mixed,round 1,500,4,,Blazing Paddles Plantation,,6,2:37.248,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-21,2025-10-17,11:06,21,senior C women,round 1,500,4,,HEAT Dragon Boat Club The Villages,,1,2:33.394,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-21,2025-10-17,11:06,21,senior C women,round 1,500,3,,Phila Flying Phoenix GW Philadelphia,,2,2:48.810,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-22,2025-10-17,11:15,22,senior D mixed,round 1,500,2,,"Leatherneck Warriors D The Villages, FL",,1,2:54.632,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-22,2025-10-17,11:15,22,senior D mixed,round 1,500,1,,NBP Paddling Sarasota,,2,2:55.391,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-22,2025-10-17,11:15,22,ACP open,round 1,500,4,,Central Coast SurviveOars Morro Bay,,1,2:57.085,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-22,2025-10-17,11:15,22,ACP open,round 1,500,5,,Survivor SAKE Seattle,,2,3:03.735,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-23,2025-10-17,11:24,23,senior B open,round 1,500,1,,Windy City Dragons Mundelein,,1,2:18.066,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-23,2025-10-17,11:24,23,senior B open,round 1,500,3,,Philadelphia Dragon Boat Assoc Lafayette Hill,,2,2:18.514,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-23,2025-10-17,11:24,23,senior B open,round 1,500,2,,SACA Golden Dragons Tampa,,3,2:26.843,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-23,2025-10-17,11:24,23,senior B open,round 1,500,4,,WAM Renton,,4,2:41.031,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-23,2025-10-17,11:24,23,18u open,round 1,500,6,,Ohana New England - Next ONE Boston,,1,2:36.633,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-24,2025-10-17,11:33,24,premier mixed,heat 1,500,3,,Southbreeze Long Beach,,1,2:01.126,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-24,2025-10-17,11:33,24,premier mixed,heat 1,500,4,,Northwind San Francisco,,2,2:04.626,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-24,2025-10-17,11:33,24,premier mixed,heat 1,500,2,,Phoenix Heat Canoe Club Tempe,,3,2:06.787,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-24,2025-10-17,11:33,24,premier mixed,heat 1,500,1,,Arizona Sunsoon Tempe,,4,2:07.610,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-24,2025-10-17,11:33,24,premier mixed,heat 1,500,5,,Catch22 Mixed NYC,,5,2:08.445,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-25,2025-10-17,11:42,25,premier mixed,heat 2,500,3,,Boston BBB DBC,,1,2:02.963,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-25,2025-10-17,11:42,25,premier mixed,heat 2,500,4,,Rising Tide Hawthorne,,2,2:03.968,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-25,2025-10-17,11:42,25,premier mixed,heat 2,500,2,,Wolfpack Racing Club Boston,,3,2:05.416,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-25,2025-10-17,11:42,25,premier mixed,heat 2,500,5,,Lone Star Dragons Houston,,4,2:11.933,Untitled spreadsheet - Sheet1 (1).csv
2025_CCNC,2025_CCNC-25,2025-10-17,11:42,25,premier mixed,heat 2,500,1,,San Francisco Dragon Warriors,,5,2:15.293,Untitled spreadsheet - Sheet1 (1).csv
