regatta_id,race_id,date,start_time,race_no,event,round,distance_m,lane,seed,team_name,team_id,place,time,page
2025_CDBC_2025-08-21,2025_CDBC_2025-08-21-1,2025-08-21,8:00 AM,1,Premier Mixed,Heat 1,500,1,,True North Leviathan Black,,5,02:07.5,
2025_CDBC_2025-08-21,2025_CDBC_2025-08-21-1,2025-08-21,8:00 AM,1,Premier Mixed,Heat 1,500,2,,FCRCC Premier,,4,02:06.1,
2025_CDBC_2025-08-21,2025_CDBC_2025-08-21-1,2025-08-21,8:00 AM,1,Premier Mixed,Heat 1,500,3,,NDRC Green,,1,02:02.4,
2025_CDBC_2025-08-21,2025_CDBC_2025-08-21-1,2025-08-21,8:00 AM,1,Premier Mixed,Heat 1,500,4,,True North Hammerheads,,3,02:03.5,
2025_CDBC_2025-08-21,2025_CDBC_2025-08-21-1,2025-08-21,8:00 AM,1,Premier Mixed,Heat 1,500,5,,Juice,,2,02:03.4,
2025_CDBC_2025-08-21,2025_CDBC_2025-08-21-2,2025-08-21,8:06 AM,2,Premier Mixed,Heat 2,500,1,,PDBC Premier Mixed,,4,02:05.5,
2025_CDBC_2025-08-21,2025_CDBC_2025-08-21-2,2025-08-21,8:06 AM,2,Premier Mixed,Heat 2,500,2,,Liquid LaPrem,,3,02:05.2,
2025_CDBC_2025-08-21,2025_CDBC_2025-08-21-2,2025-08-21,8:06 AM,2,Premier Mixed,Heat 2,500,3,,22D Premier Mixed,,1,02:04.3,
2025_CDBC_2025-08-21,2025_CDBC_2025-08-21-2,2025-08-21,8:06 AM,2,Premier Mixed,Heat 2,500,4,,H2o - Premier Mixte (STD),,2,02:05.2,
2025_CDBC_2025-08-21,2025_CDBC_2025-08-21-3,2025-08-21,8:12 AM,3,BCP/ACP Mixed,Heat,500,2,,Dragons Abreast,,3,02:51.1,
2025_CDBC_2025-08-21,2025_CDBC_2025-08-21-3,2025-08-21,8:12 AM,3,BCP/ACP Mixed,Heat,500,3,,Flat Out,,1,02:39.2,
2025_CDBC_2025-08-21,2025_CDBC_2025-08-21-3,2025-08-21,8:12 AM,3,BCP/ACP Mixed,Heat,500,5,,Canal Dragons,,2,02:46.6,
2025_CDBC_2025-08-21,2025_CDBC_2025-08-21-4,2025-08-21,8:18 AM,4,Senior D Mixed,Heat,500,2,,CSDC Senior D Mixed SB,,2,02:37.1,
2025_CDBC_2025-08-21,2025_CDBC_2025-08-21-4,2025-08-21,8:18 AM,4,Senior D Mixed,Heat,500,3,,Gorging Dragons Senior D Mixed,,,,
2025_CDBC_2025-08-21,2025_CDBC_2025-08-21-4,2025-08-21,8:18 AM,4,Senior D Mixed,Heat,500,4,,PDBC SR D Mixed,,1,02:29.8,
