regatta_id,race_id,date,start_time,race_no,event,round,distance_m,lane,seed,team_name,team_id,place,time,page
2025_KCDBF_Results,2025_KCDBF_Results_R1,2025-09-27,8:45 AM,1,PREMIER MIXED,QUALIFYING,500,1,,155 Motion,22,4,3:16.53,1
2025_KCDBF_Results,2025_KCDBF_Results_R1,2025-09-27,8:45 AM,1,PREMIER MIXED,QUALIFYING,500,2,,Flying Ears,10,2,2:21.80,1
2025_KCDBF_Results,2025_KCDBF_Results_R1,2025-09-27,8:45 AM,1,PREMIER MIXED,QUALIFYING,500,3,,Hump Day Power Paddlers,18,1,2:08.26,1
2025_KCDBF_Results,2025_KCDBF_Results_R1,2025-09-27,8:45 AM,1,PREMIER MIXED,QUALIFYING,500,4,,Mystic Dragons,25,3,2:45.43,1
2025_KCDBF_Results,2025_KCDBF_Results_R2,2025-09-27,9:07 AM,2,PREMIER MIXED,QUALIFYING,500,1,,North Star Warriors,3,3,2:38.46,1
2025_KCDBF_Results,2025_KCDBF_Results_R2,2025-09-27,9:07 AM,2,PREMIER MIXED,QUALIFYING,500,2,,RiversportOKC,2,2,2:19.56,1
2025_KCDBF_Results,2025_KCDBF_Results_R2,2025-09-27,9:07 AM,2,PREMIER MIXED,QUALIFYING,500,3,,Six Seven Serpents,28,4,2:50.46,1
2025_KCDBF_Results,2025_KCDBF_Results_R2,2025-09-27,9:07 AM,2,PREMIER MIXED,QUALIFYING,500,4,,SLAP Dragons KC,14,1,2:16.73,1
2025_KCDBF_Results,2025_KCDBF_Results_R3,2025-09-27,9:29 AM,3,PREMIER MIXED,QUALIFYING / HEALTH CARE & PUBLIC SERVICES CPLC,500,1,,The ReVital Rowers,27,1,2:42.60,1
2025_KCDBF_Results,2025_KCDBF_Results_R3,2025-09-27,9:29 AM,3,PREMIER MIXED,QUALIFYING / HEALTH CARE & PUBLIC SERVICES CPLC,500,2,,Smooth Operators,7,4,3:05.80,1
2025_KCDBF_Results,2025_KCDBF_Results_R3,2025-09-27,9:29 AM,3,PREMIER MIXED,QUALIFYING / HEALTH CARE & PUBLIC SERVICES CPLC,500,3,,Team JCPRD,17,3,2:55.26,1
2025_KCDBF_Results,2025_KCDBF_Results_R3,2025-09-27,9:29 AM,3,PREMIER MIXED,QUALIFYING / HEALTH CARE & PUBLIC SERVICES CPLC,500,4,,Susila's Paddle Punks,11,2,2:48.93,1
2025_KCDBF_Results,2025_KCDBF_Results_R4,2025-09-27,9:51 AM,4,PREMIER WOMEN'S,#1,500,1,,Boatylicious Babes,19,3,2:51.33,1
2025_KCDBF_Results,2025_KCDBF_Results_R4,2025-09-27,9:51 AM,4,PREMIER WOMEN'S,#1,500,2,,Dragon Flyers,23,5,3:05.46,1
2025_KCDBF_Results,2025_KCDBF_Results_R4,2025-09-27,9:51 AM,4,PREMIER WOMEN'S,#1,500,3,,Gong Hoes,12,4,2:51.76,1
2025_KCDBF_Results,2025_KCDBF_Results_R4,2025-09-27,9:51 AM,4,PREMIER WOMEN'S,#1,500,4,,Kingdom Queens,21,2,2:49.66,1
2025_KCDBF_Results,2025_KCDBF_Results_R4,2025-09-27,9:51 AM,4,PREMIER WOMEN'S,#1,500,5,,Off THE EDGE,1,1,2:17.96,1
2025_KCDBF_Results,2025_KCDBF_Results_R5,2025-09-27,10:13 AM,5,PREMIER OPEN,#1,500,2,,Hump Day Rapid Racers,20,1,2:10.60,1
2025_KCDBF_Results,2025_KCDBF_Results_R5,2025-09-27,10:13 AM,5,PREMIER OPEN,#1,500,3,,Needham Invasion,8,2,2:31.43,1
2025_KCDBF_Results,2025_KCDBF_Results_R5,2025-09-27,10:13 AM,5,PREMIER OPEN,#1,500,4,,Concrete Dragon Ninjas,29,3,2:33.76,1
