regatta_id,race_id,date,start_time,race_no,event,round,distance_m,lane,seed,team_name,team_id,place,time,page
2025_Orlando_DBF_Results,2025_Orlando_DBF_Results_R1,2025-10-04,8:30 AM,1,PREMIER WOMEN,QUALIFYING #1,500,1,,Jade Kong,18,1,01:51.63,1
2025_Orlando_DBF_Results,2025_Orlando_DBF_Results_R1,2025-10-04,8:30 AM,1,PREMIER WOMEN,QUALIFYING #1,500,2,,NBP Women,5,3,02:01.76,1
2025_Orlando_DBF_Results,2025_Orlando_DBF_Results_R1,2025-10-04,8:30 AM,1,PREMIER WOMEN,QUALIFYING #1,500,3,,TBDBC Bladies,31,2,02:00.00,1
2025_Orlando_DBF_Results,2025_Orlando_DBF_Results_R1,2025-10-04,8:30 AM,1,PREMIER WOMEN,QUALIFYING #1,500,4,,Blackheart Senior Women,33,4,02:04.96,1
2025_Orlando_DBF_Results,2025_Orlando_DBF_Results_R2,2025-10-04,8:42 AM,2,PREMIER WOMEN,QUALIFYING #1,500,1,,HEAT Women,20,2,01:58.70,1
2025_Orlando_DBF_Results,2025_Orlando_DBF_Results_R2,2025-10-04,8:42 AM,2,PREMIER WOMEN,QUALIFYING #1,500,2,,Red Dragons Miami,36,4,02:01.30,1
2025_Orlando_DBF_Results,2025_Orlando_DBF_Results_R2,2025-10-04,8:42 AM,2,PREMIER WOMEN,QUALIFYING #1,500,3,,Flashy Mother Puffers,7,1,01:56.83,1
2025_Orlando_DBF_Results,2025_Orlando_DBF_Results_R2,2025-10-04,8:42 AM,2,PREMIER WOMEN,QUALIFYING #1,500,4,,Relentless,17,3,01:59.63,1
2025_Orlando_DBF_Results,2025_Orlando_DBF_Results_R3,2025-10-04,8:54 AM,3,PREMIER OPEN,#1,500,2,,Florida Man,6,2,01:46.63,1
2025_Orlando_DBF_Results,2025_Orlando_DBF_Results_R3,2025-10-04,8:54 AM,3,PREMIER OPEN,#1,500,3,,Golden Kong DB,3,1,01:46.30,1
2025_Orlando_DBF_Results,2025_Orlando_DBF_Results_R3,2025-10-04,8:54 AM,3,PREMIER OPEN,#1,500,4,,Red Dragons Miami,37,3,01:47.20,1
2025_Orlando_DBF_Results,2025_Orlando_DBF_Results_R4,2025-10-04,9:06 AM,4,SENIOR MIXED,#1,500,1,,Eastport Sun Dragons SM,23,2,01:58.96,1
2025_Orlando_DBF_Results,2025_Orlando_DBF_Results_R4,2025-10-04,9:06 AM,4,SENIOR MIXED,#1,500,2,,NBP SR Mixed,4,1,01:55.66,1
2025_Orlando_DBF_Results,2025_Orlando_DBF_Results_R4,2025-10-04,9:06 AM,4,SENIOR MIXED,#1,500,3,,Leatherneck Warriors,13,4,02:04.63,1
2025_Orlando_DBF_Results,2025_Orlando_DBF_Results_R4,2025-10-04,9:06 AM,4,SENIOR MIXED,#1,500,4,,Blackheart Senior Mixed,28,3,02:02.70,1
2025_Orlando_DBF_Results,2025_Orlando_DBF_Results_R5,2025-10-04,9:18 AM,5,BCP,QUALIFYING #1,500,1,,Broward Fierce Fighters,26,1,02:16.86,1
2025_Orlando_DBF_Results,2025_Orlando_DBF_Results_R5,2025-10-04,9:18 AM,5,BCP,QUALIFYING #1,500,2,,Pink Dragon Ladies,22,2,02:18.56,1
2025_Orlando_DBF_Results,2025_Orlando_DBF_Results_R5,2025-10-04,9:18 AM,5,BCP,QUALIFYING #1,500,3,,Warriors on Water / WOW,14,3,02:19.06,1
2025_Orlando_DBF_Results,2025_Orlando_DBF_Results_R6,2025-10-04,9:30 AM,6,BCP,QUALIFYING #1,500,1,,Hell Gate Sea Dragons,15,3,02:25.93,1
2025_Orlando_DBF_Results,2025_Orlando_DBF_Results_R6,2025-10-04,9:30 AM,6,BCP,QUALIFYING #1,500,2,,Save Our Sisters,11,2,02:25.06,1
2025_Orlando_DBF_Results,2025_Orlando_DBF_Results_R6,2025-10-04,9:30 AM,6,BCP,QUALIFYING #1,500,3,,Survivors In Sync,34,1,02:14.40,1
