regatta_id,race_id,date,start_time,race_no,event,round,distance_m,lane,seed,team_name,team_id,place,time,page
2025_PACCC,2025_PACCC-1,2025-07-04,8:00,1,Premier Mixte/Mixed,Heat 1,200,1,,Oceanus Dragon Boat Club,,4,00:58.0,V_Fri
2025_PACCC,2025_PACCC-1,2025-07-04,8:00,1,Premier Mixte/Mixed,Heat 1,200,2,,22Dragons True Grit 24U,,2,00:56.0,V_Fri
2025_PACCC,2025_PACCC-1,2025-07-04,8:00,1,Premier Mixte/Mixed,Heat 1,200,3,,NJDBC Jersey Thunder Mixed,,6,01:02.3,V_Fri
2025_PACCC,2025_PACCC-1,2025-07-04,8:00,1,Premier Mixte/Mixed,Heat 1,200,4,,Bytown Dragons,,5,01:02.0,V_Fri
2025_PACCC,2025_PACCC-1,2025-07-04,8:00,1,Premier Mixte/Mixed,Heat 1,200,5,,H2O Quebec - Premier Mixte,,1,00:54.3,V_Fri
2025_PACCC,2025_PACCC-1,2025-07-04,8:00,1,Premier Mixte/Mixed,Heat 1,200,6,,Maelstrom Immortals,,3,00:56.5,V_Fri
2025_PACCC,2025_PACCC-2,2025-07-04,8:06,2,Premier Mixte/Mixed,Heat 2,200,1,,DZ Vancouver Misfits,,5,01:01.9,V_Fri
2025_PACCC,2025_PACCC-2,2025-07-04,8:06,2,Premier Mixte/Mixed,Heat 2,200,2,,Puerto Aventuras,,4,01:01.0,V_Fri
2025_PACCC,2025_PACCC-2,2025-07-04,8:06,2,Premier Mixte/Mixed,Heat 2,200,3,,Dragon Rage,,2,00:58.3,V_Fri
2025_PACCC,2025_PACCC-2,2025-07-04,8:06,2,Premier Mixte/Mixed,Heat 2,200,4,,UEAA Dragon Boat NYC,,1,00:55.0,V_Fri
2025_PACCC,2025_PACCC-2,2025-07-04,8:06,2,Premier Mixte/Mixed,Heat 2,200,5,,H2O - Premier Beat Boat Mixte,,3,00:59.6,V_Fri
2025_PACCC,2025_PACCC-3,2025-07-04,8:12,3,Premier Mixte/Mixed,Heat,200,1,,22Dragons True Grit 24U,,2,00:48.9,V_Fri
2025_PACCC,2025_PACCC-3,2025-07-04,8:12,3,Premier Mixte/Mixed,Heat,200,2,,Boston BBB,,3,00:49.9,V_Fri
2025_PACCC,2025_PACCC-3,2025-07-04,8:12,3,Premier Mixte/Mixed,Heat,200,3,,22Dragons Bleu,,1,00:48.3,V_Fri
2025_PACCC,2025_PACCC-3,2025-07-04,8:12,3,Premier Mixte/Mixed,Heat,200,4,,Catch22 NYC,,6,00:52.9,V_Fri
2025_PACCC,2025_PACCC-3,2025-07-04,8:12,3,Premier Mixte/Mixed,Heat,200,5,,H2O - Premier Mixte,,4,00:50.3,V_Fri
2025_PACCC,2025_PACCC-3,2025-07-04,8:12,3,Premier Mixte/Mixed,Heat,200,6,,22Dragons Blanc,,5,00:51.8,V_Fri
2025_PACCC,2025_PACCC-4,2025-07-04,8:18,4,Senior B Mixte/Mixed,Heat 1,200,2,,22Dragons,,3,00:59.3,V_Fri
2025_PACCC,2025_PACCC-4,2025-07-04,8:18,4,Senior B Mixte/Mixed,Heat 1,200,3,,Bucks Dragon Boat Fusion,,1,00:56.8,V_Fri
2025_PACCC,2025_PACCC-4,2025-07-04,8:18,4,Senior B Mixte/Mixed,Heat 1,200,4,,Bytown Basilisks,,4,01:04.9,V_Fri
2025_PACCC,2025_PACCC-4,2025-07-04,8:18,4,Senior B Mixte/Mixed,Heat 1,200,5,,FLCC SOARX,,2,00:59.2,V_Fri
2025_PACCC,2025_PACCC-5,2025-07-04,8:24,5,Senior B Mixte/Mixed,Heat 2,200,2,,Bytown Wyrd,,1,00:57.3,V_Fri
2025_PACCC,2025_PACCC-5,2025-07-04,8:24,5,Senior B Mixte/Mixed,Heat 2,200,3,,Evolution Paddling Club,,2,00:59.3,V_Fri
2025_PACCC,2025_PACCC-5,2025-07-04,8:24,5,Senior B Mixte/Mixed,Heat 2,200,4,,Heat DBC,,3,01:00.5,V_Fri
2025_PACCC,2025_PACCC-6,2025-07-04,8:30,6,Senior B & PD-2 Mixte/Mixed,Heat,200,2,,ODBC Dragon Masters (Sr B),,2,00:53.5,V_Fri
2025_PACCC,2025_PACCC-6,2025-07-04,8:30,6,Senior B & PD-2 Mixte/Mixed,Heat,200,3,,H2O - Senior B Mixte (Sr B),,1,00:51.8,V_Fri
2025_PACCC,2025_PACCC-6,2025-07-04,8:30,6,Senior B & PD-2 Mixte/Mixed,Heat,200,4,,22Dragons Caravela (PD-2),,4,01:08.3,V_Fri
2025_PACCC,2025_PACCC-6,2025-07-04,8:30,6,Senior B & PD-2 Mixte/Mixed,Heat,200,5,,3R Dragon Paracuda (PD-2),,3,00:57.4,V_Fri
2025_PACCC,2025_PACCC-7,2025-07-04,8:36,7,BCS/Survivante,Heat,200,2,,West Island Dragons,,2,01:02.7,V_Fri
2025_PACCC,2025_PACCC-7,2025-07-04,8:36,7,BCS/Survivante,Heat,200,3,,CBD de la Capitale - Vise-à-vie,,1,01:01.9,V_Fri
2025_PACCC,2025_PACCC-7,2025-07-04,8:36,7,BCS/Survivante,Heat,200,4,,Empire Dragons,,3,01:03.6,V_Fri
2025_PACCC,2025_PACCC-7,2025-07-04,8:36,7,BCS/Survivante,Heat,200,5,,H2O - BCS Seincr'eau,,4,01:03.9,V_Fri
2025_PACCC,2025_PACCC-8,2025-07-04,8:42,8,Senior D Mixte/Mixed,Heat,200,2,,Leathernecks Red,,2,01:05.3,V_Fri
2025_PACCC,2025_PACCC-8,2025-07-04,8:42,8,Senior D Mixte/Mixed,Heat,200,3,,Dragon Beasts,,4,01:11.7,V_Fri
2025_PACCC,2025_PACCC-8,2025-07-04,8:42,8,Senior D Mixte/Mixed,Heat,200,4,,Heat DBC,,1,01:04.1,V_Fri
2025_PACCC,2025_PACCC-8,2025-07-04,8:42,8,Senior D Mixte/Mixed,Heat,200,5,,Seattle Sake,,3,01:07.9,V_Fri
2025_PACCC,2025_PACCC-9,2025-07-04,8:48,9,BCS/Survivante & 16U Open,Heat,200,1,,22D Two Abreast Cote-a-cote(BCS),,5,01:08.0,V_Fri
2025_PACCC,2025_PACCC-9,2025-07-04,8:48,9,BCS/Survivante & 16U Open,Heat,200,2,,DragonHeart Panama (BCS),,4,01:06.4,V_Fri
