regatta_id,race_id,date,start_time,race_no,event,round,distance_m,lane,seed,team_name,team_id,place,time,page
2025_PACCC,2025_PACCC-135,2025-07-06,8:00,135,Senior A Mixte/Mixed,Heat 1,500,1,,H2O - Beat Boat SA,,2,02:29.2,V_Sun
2025_PACCC,2025_PACCC-135,2025-07-06,8:00,135,Senior A Mixte/Mixed,Heat 1,500,2,,3R Dragon 3R Senior A,,1,02:23.7,V_Sun
2025_PACCC,2025_PACCC-135,2025-07-06,8:00,135,Senior A Mixte/Mixed,Heat 1,500,3,,Puerto Aventuras,,5,02:31.3,V_Sun
2025_PACCC,2025_PACCC-135,2025-07-06,8:00,135,Senior A Mixte/Mixed,Heat 1,500,4,,Evolution Paddling Club,,3,02:29.6,V_Sun
2025_PACCC,2025_PACCC-135,2025-07-06,8:00,135,Senior A Mixte/Mixed,Heat 1,500,5,,San Juan Dragonborn,,4,02:30.3,V_Sun
2025_PACCC,2025_PACCC-136,2025-07-06,8:06,136,Senior A Mixte/Mixed,Heat 2,500,2,,Bytown Shadow,,5,02:28.9,V_Sun
2025_PACCC,2025_PACCC-136,2025-07-06,8:06,136,Senior A Mixte/Mixed,Heat 2,500,3,,ODBC Barracudas,,2,02:22.7,V_Sun
2025_PACCC,2025_PACCC-136,2025-07-06,8:06,136,Senior A Mixte/Mixed,Heat 2,500,4,,H2O QC - Sr A Mixte,,1,02:20.7,V_Sun
2025_PACCC,2025_PACCC-136,2025-07-06,8:06,136,Senior A Mixte/Mixed,Heat 2,500,5,,Seattle Sake,,4,02:26.8,V_Sun
2025_PACCC,2025_PACCC-136,2025-07-06,8:06,136,Senior A Mixte/Mixed,Heat 2,500,6,,H2O - Senior A Mixte,,3,02:26.4,V_Sun
2025_PACCC,2025_PACCC-137,2025-07-06,8:12,137,Senior A Mixte/Mixed,Heat,500,2,,H2O - Senior A Mixte,,1,02:08.0,V_Sun
2025_PACCC,2025_PACCC-137,2025-07-06,8:12,137,Senior A Mixte/Mixed,Heat,500,3,,Dragonheart Vermont 40 North,,3,02:15.4,V_Sun
2025_PACCC,2025_PACCC-137,2025-07-06,8:12,137,Senior A Mixte/Mixed,Heat,500,4,,22Dragons,,2,02:12.7,V_Sun
2025_PACCC,2025_PACCC-138,2025-07-06,8:18,138,Senior C & ACS Mixte/Mixed,Heat,500,1,,Seattle Sake (ACS),,5,02:45.6,V_Sun
2025_PACCC,2025_PACCC-138,2025-07-06,8:18,138,Senior C & ACS Mixte/Mixed,Heat,500,2,,Wellness Warriors Boston (ACS),,6,03:00.4,V_Sun
2025_PACCC,2025_PACCC-138,2025-07-06,8:18,138,Senior C & ACS Mixte/Mixed,Heat,500,3,,Seattle Sake,,4,02:34.1,V_Sun
2025_PACCC,2025_PACCC-138,2025-07-06,8:18,138,Senior C & ACS Mixte/Mixed,Heat,500,4,,ODBC Dragon Masters,,1,02:25.7,V_Sun
2025_PACCC,2025_PACCC-138,2025-07-06,8:18,138,Senior C & ACS Mixte/Mixed,Heat,500,5,,Bytown C-Surge,,2,02:27.0,V_Sun
2025_PACCC,2025_PACCC-138,2025-07-06,8:18,138,Senior C & ACS Mixte/Mixed,Heat,500,6,,Dragon Beasts,,3,02:31.7,V_Sun
2025_PACCC,2025_PACCC-139,2025-07-06,8:24,139,Senior C Mixte/Mixed,Heat,500,3,,H2O - Senior C Mixte,,1,02:12.1,V_Sun
2025_PACCC,2025_PACCC-139,2025-07-06,8:24,139,Senior C Mixte/Mixed,Heat,500,4,,22Dragons,,2,02:12.3,V_Sun
2025_PACCC,2025_PACCC-140,2025-07-06,8:30,140,Post Secondary Mixte/Mixed,Heat,500,1,,Uni. de Montreal Airbus,,1,02:10.7,V_Sun
2025_PACCC,2025_PACCC-140,2025-07-06,8:30,140,Post Secondary Mixte/Mixed,Heat,500,2,,Marianopolis DoD Lightning,,6,02:19.2,V_Sun
2025_PACCC,2025_PACCC-140,2025-07-06,8:30,140,Post Secondary Mixte/Mixed,Heat,500,3,,Uni. de Montreal Submarine,,3,02:12.4,V_Sun
2025_PACCC,2025_PACCC-140,2025-07-06,8:30,140,Post Secondary Mixte/Mixed,Heat,500,4,,Marianopolis DoD Thunder,,4,02:13.4,V_Sun
2025_PACCC,2025_PACCC-140,2025-07-06,8:30,140,Post Secondary Mixte/Mixed,Heat,500,5,,Concordia University Chaos,,5,02:13.9,V_Sun
2025_PACCC,2025_PACCC-140,2025-07-06,8:30,140,Post Secondary Mixte/Mixed,Heat,500,6,,McGill DragonBoat Z Goku,,2,02:11.2,V_Sun
2025_PACCC,2025_PACCC-141,2025-07-06,8:36,141,24U Mixed,Heat,500,2,,Bytown Carleton Ravens (24U),,2,02:31.4,V_Sun
2025_PACCC,2025_PACCC-5,2025-07-06,8:36,141,24U Mixed,Heat,500,3,,H2O - U24 Mixte,,1,02:29.5,V_Sun
2025_PACCC,2025_PACCC-141,2025-07-06,8:36,141,U16 Mixed,Heat,500,5,,H2O - Fujian U16 Mixed,,3,02:32.8,V_Sun
2025_PACCC,2025_PACCC-5,2025-07-06,8:36,141,U16 Mixed,Heat,500,6,,Bytown Flash Dragons (16U),,4,02:49.3,V_Sun
2025_PACCC,2025_PACCC-142,2025-07-06,8:42,142,Community Mixte/Mixed,Final F,200,1,,Bell Vikings,,2,00:57.9,V_Sun
2025_PACCC,2025_PACCC-142,2025-07-06,8:42,142,Community Mixte/Mixed,Final F,200,2,,Kingston Dragonflyr's,,3,00:59.4,V_Sun
2025_PACCC,2025_PACCC-142,2025-07-06,8:42,142,Community Mixte/Mixed,Final F,200,3,,Restaurant Kim Fung Chinatown Powered by Exocet,,1,00:56.0,V_Sun
2025_PACCC,2025_PACCC-142,2025-07-06,8:42,142,Community Mixte/Mixed,Final F,200,4,,Kraken Crew,,4,00:59.5,V_Sun
2025_PACCC,2025_PACCC-142,2025-07-06,8:42,142,Community Mixte/Mixed,Final F,200,5,,Nansea Serpents,,5,01:00.3,V_Sun
2025_PACCC,2025_PACCC-143,2025-07-06,8:48,143,Community Mixte/Mixed,Final E,200,1,,BDHQ,,5,00:57.3,V_Sun
2025_PACCC,2025_PACCC-143,2025-07-06,8:48,143,Community Mixte/Mixed,Final E,200,2,,Hubei CCFPA DB Team,,1,00:54.7,V_Sun
2025_PACCC,2025_PACCC-143,2025-07-06,8:48,143,Community Mixte/Mixed,Final E,200,3,,DaCatch,,2,00:56.2,V_Sun
2025_PACCC,2025_PACCC-143,2025-07-06,8:48,143,Community Mixte/Mixed,Final E,200,4,,Red Pandas,,3,00:56.8,V_Sun
2025_PACCC,2025_PACCC-143,2025-07-06,8:48,143,Community Mixte/Mixed,Final E,200,5,,Artelia,,4,00:57.0,V_Sun
2025_PACCC,2025_PACCC-144,2025-07-06,8:54,144,Senior A Mixte/Mixed,Repêchage 1,500,2,,Evolution Paddling Club,,2,02:29.3,V_Sun
2025_PACCC,2025_PACCC-144,2025-07-06,8:54,144,Senior A Mixte/Mixed,Repêchage 1,500,3,,H2O - Senior A Mixte,,1,02:26.6,V_Sun
2025_PACCC,2025_PACCC-144,2025-07-06,8:54,144,Senior A Mixte/Mixed,Repêchage 1,500,4,,H2O - Beat Boat SA,,3,02:30.4,V_Sun
2025_PACCC,2025_PACCC-145,2025-07-06,9:00,145,Senior A Mixte/Mixed,Repêchage 2,500,2,,San Juan Dragonborn,,4,02:32.2,V_Sun
2025_PACCC,2025_PACCC-145,2025-07-06,9:00,145,Senior A Mixte/Mixed,Repêchage 2,500,3,,Seattle Sake,,1,02:26.8,V_Sun
2025_PACCC,2025_PACCC-145,2025-07-06,9:00,145,Senior A Mixte/Mixed,Repêchage 2,500,4,,Bytown Shadow,,2,02:27.9,V_Sun
2025_PACCC,2025_PACCC-145,2025-07-06,9:00,145,Senior A Mixte/Mixed,Repêchage 2,500,5,,Puerto Aventuras,,3,02:30.5,V_Sun
2025_PACCC,2025_PACCC-146,2025-07-06,9:06,146,Community Mixte/Mixed,Final D,200,1,,Fujian HuaCheng Intl,,2,00:54.8,V_Sun
2025_PACCC,2025_PACCC-146,2025-07-06,9:06,146,Community Mixte/Mixed,Final D,200,2,,Fyujon Maelstrom,,1,00:53.3,V_Sun
2025_PACCC,2025_PACCC-146,2025-07-06,9:06,146,Community Mixte/Mixed,Final D,200,3,,Maitres Dragons,,6,00:55.6,V_Sun
2025_PACCC,2025_PACCC-146,2025-07-06,9:06,146,Community Mixte/Mixed,Final D,200,4,,Tempest Nova,,4,00:55.6,V_Sun
2025_PACCC,2025_PACCC-146,2025-07-06,9:06,146,Community Mixte/Mixed,Final D,200,5,,Beijing,,3,00:55.3,V_Sun
2025_PACCC,2025_PACCC-146,2025-07-06,9:06,146,Community Mixte/Mixed,Final D,200,6,,Universite de Montreal Boeing,,5,00:55.6,V_Sun
2025_PACCC,2025_PACCC-147,2025-07-06,9:12,147,Community Mixte/Mixed,Final C,200,1,,Dragon Wings,,4,00:54.7,V_Sun
2025_PACCC,2025_PACCC-147,2025-07-06,9:12,147,Community Mixte/Mixed,Final C,200,2,,McGill DBZ - Vegeta,,1,00:53.6,V_Sun
2025_PACCC,2025_PACCC-147,2025-07-06,9:12,147,Community Mixte/Mixed,Final C,200,3,,True North Leviathan Orange,,2,00:54.3,V_Sun
2025_PACCC,2025_PACCC-147,2025-07-06,9:12,147,Community Mixte/Mixed,Final C,200,4,,TNT,,3,00:54.6,V_Sun
2025_PACCC,2025_PACCC-147,2025-07-06,9:12,147,Community Mixte/Mixed,Final C,200,5,,Plantain Boat,,5,00:55.1,V_Sun
2025_PACCC,2025_PACCC-147,2025-07-06,9:12,147,Community Mixte/Mixed,Final C,200,6,,Phoenix Warriors,,6,00:55.5,V_Sun
