regatta_id,race_id,date,start_time,race_no,event,round,distance_m,lane,seed,team_name,team_id,place,time,page
2025_WELLAND_HOPE_FLOATS,2025_WELLAND_HOPE_FLOATS-1,,8:24,1,Mixed Division,Heat,500,1,,Frontop - United Warriors,,1,2:36.53,
2025_WELLAND_HOPE_FLOATS,2025_WELLAND_HOPE_FLOATS-1,,8:24,1,Mixed Division,Heat,500,2,,Fuzhou University Dragonboat Club,,DNF,3:01.78,
2025_WELLAND_HOPE_FLOATS,2025_WELLAND_HOPE_FLOATS-1,,8:24,1,Mixed Division,Heat,500,3,,Paddle of Fury,,2,2:40.89,
2025_WELLAND_HOPE_FLOATS,2025_WELLAND_HOPE_FLOATS-1,,8:24,1,Mixed Division,Heat,500,4,,Paddle & Shein,,3,3:00.07,
2025_WELLAND_HOPE_FLOATS,2025_WELLAND_HOPE_FLOATS-1,,8:24,1,Mixed Division,Heat,500,5,,PDBC 18 U Mixed,,DNF,2:32.66,
2025_WELLAND_HOPE_FLOATS,2025_WELLAND_HOPE_FLOATS-2,,8:36,2,Mixed Division,Heat,500,1,,GDBC Simcoe Flyers,,4,2:43.76,
2025_WELLAND_HOPE_FLOATS,2025_WELLAND_HOPE_FLOATS-2,,8:36,2,Mixed Division,Heat,500,2,,IB Dragonboating,,6,2:48.13,
2025_WELLAND_HOPE_FLOATS,2025_WELLAND_HOPE_FLOATS-2,,8:36,2,Mixed Division,Heat,500,3,,Jordan Harbour Hooligans,,5,2:47.18,
2025_WELLAND_HOPE_FLOATS,2025_WELLAND_HOPE_FLOATS-2,,8:36,2,Mixed Division,Heat,500,4,,PDBC Blazing Blue Dragons,,2,2:25.31,
2025_WELLAND_HOPE_FLOATS,2025_WELLAND_HOPE_FLOATS-2,,8:36,2,Mixed Division,Heat,500,5,,Rusty Dragons - Liberty Waves,,3,2:37.05,
2025_WELLAND_HOPE_FLOATS,2025_WELLAND_HOPE_FLOATS-3,,8:48,3,Mixed Division,Heat,500,1,,PDBC Hana Nui White,,5,2:36.02,
2025_WELLAND_HOPE_FLOATS,2025_WELLAND_HOPE_FLOATS-3,,8:48,3,Mixed Division,Heat,500,2,,Quicksilver,,2,2:23.74,
2025_WELLAND_HOPE_FLOATS,2025_WELLAND_HOPE_FLOATS-3,,8:48,3,Mixed Division,Heat,500,3,,Rusty Dragons - Barracudas,,4,2:27.55,
2025_WELLAND_HOPE_FLOATS,2025_WELLAND_HOPE_FLOATS-3,,8:48,3,Mixed Division,Heat,500,4,,The Dragonators,,6,2:45.13,
2025_WELLAND_HOPE_FLOATS,2025_WELLAND_HOPE_FLOATS-3,,8:48,3,Mixed Division,Heat,500,5,,TOHK Garlic,,3,2:24.95,
2025_WELLAND_HOPE_FLOATS,2025_WELLAND_HOPE_FLOATS-4,,9:00,4,Mixed Division,Heat,500,1,,TOHK Chili,,1,2:25.07,
2025_WELLAND_HOPE_FLOATS,2025_WELLAND_HOPE_FLOATS-4,,9:00,4,Mixed Division,Heat,500,2,,Toronto Wyvern Club,,2,2:30.31,
2025_WELLAND_HOPE_FLOATS,2025_WELLAND_HOPE_FLOATS-4,,9:00,4,Mixed Division,Heat,500,3,,YCPC Tigers,,3,2:36.98,
2025_WELLAND_HOPE_FLOATS,2025_WELLAND_HOPE_FLOATS-4,,9:00,4,Mixed Division,Heat,500,4,,PDBC Light,,6,2:51.63,
2025_WELLAND_HOPE_FLOATS,2025_WELLAND_HOPE_FLOATS-4,,9:00,4,Mixed Division,Heat,500,5,,Lively Thunder,,4,2:39.32,
2025_WELLAND_HOPE_FLOATS,2025_WELLAND_HOPE_FLOATS-5,,9:12,5,Women's Division,Heat,500,1,,MOV’n Dragons,,4,2:55.09,
2025_WELLAND_HOPE_FLOATS,2025_WELLAND_HOPE_FLOATS-5,,9:12,5,Women's Division,Heat,500,2,,Brainwaves,,5,2:58.24,
2025_WELLAND_HOPE_FLOATS,2025_WELLAND_HOPE_FLOATS-5,,9:12,5,Women's Division,Heat,500,3,,Lively Ladies,,2,2:49.77,
2025_WELLAND_HOPE_FLOATS,2025_WELLAND_HOPE_FLOATS-5,,9:12,5,Women's Division,Heat,500,4,,Oakville Dragonflies,,3,2:53.60,
2025_WELLAND_HOPE_FLOATS,2025_WELLAND_HOPE_FLOATS-5,,9:12,5,Women's Division,Heat,500,5,,PDBC Fired Up!,,1,2:47.10,
2025_WELLAND_HOPE_FLOATS,2025_WELLAND_HOPE_FLOATS-6,,9:24,6,Women's Division,Heat,500,1,,Forest Brook Blazing Paddles Comp,,3,2:47.16,
2025_WELLAND_HOPE_FLOATS,2025_WELLAND_HOPE_FLOATS-6,,9:24,6,Women's Division,Heat,500,2,,Gilda’s Dragons,,4,2:56.70,
2025_WELLAND_HOPE_FLOATS,2025_WELLAND_HOPE_FLOATS-6,,9:24,6,Women's Division,Heat,500,3,,PDBC Hana Nui Red,,1,2:32.71,
2025_WELLAND_HOPE_FLOATS,2025_WELLAND_HOPE_FLOATS-6,,9:24,6,Women's Division,Heat,500,4,,YCPC Angels,,2,2:39.99,
