regatta_id,race_id,date,start_time,race_no,event,round,distance_m,lane,seed,team_name,team_id,place,time,status,page
2025_GWNC,2025-09-06-R01,2025-09-06,8:30 AM,1,1 DAY MIXED 500M QUALIFYING RACE #1,Qualifying,500,2,,DEBRA Canada Powered by Graphic i.d. (DS),59,3,03:05.8,,1
2025_GWNC,2025-09-06-R01,2025-09-06,8:30 AM,1,1 DAY MIXED 500M QUALIFYING RACE #1,Qualifying,500,3,,Draggin’ it Together (S),82,4,03:13.0,,1
2025_GWNC,2025-09-06-R01,2025-09-06,8:30 AM,1,1 DAY MIXED 500M QUALIFYING RACE #1,Qualifying,500,4,,Rusty Dragons - City of Toronto,68,1,02:32.9,,1
2025_GWNC,2025-09-06-R01,2025-09-06,8:30 AM,1,1 DAY MIXED 500M QUALIFYING RACE #1,Qualifying,500,5,,Sunnyside Paddling Club - Sunniest of Saturdays,5,2,02:45.2,,1
2025_GWNC,2025-09-06-R02,2025-09-06,8:42 AM,2,1 DAY MIXED 500M QUALIFYING RACE #1,Qualifying,500,3,,Sunnyside Paddling Club - LTP+ Thunder,83,1,02:32.2,,1
2025_GWNC,2025-09-06-R02,2025-09-06,8:42 AM,2,1 DAY MIXED 500M QUALIFYING RACE #1,Qualifying,500,4,,DEBRA Canada Powered by Urgo Medical (DS),58,3,03:05.0,,1
2025_GWNC,2025-09-06-R02,2025-09-06,8:42 AM,2,1 DAY MIXED 500M QUALIFYING RACE #1,Qualifying,500,5,,Sunnyside Paddling Club - Wild Wednesdays,66,2,02:32.4,,1
2025_GWNC,2025-09-06-R03,2025-09-06,8:54 AM,3,BCP 500M RACE #1,,500,2,,Barrie’s Ribbons of Hope,8,4,02:43.7,,1
2025_GWNC,2025-09-06-R03,2025-09-06,8:54 AM,3,BCP 500M RACE #1,,500,3,,Dragonflyers,24,2,02:42.4,,1
2025_GWNC,2025-09-06-R03,2025-09-06,8:54 AM,3,BCP 500M RACE #1,,500,4,,Dragons Abreast,2,3,02:42.8,,1
2025_GWNC,2025-09-06-R03,2025-09-06,8:54 AM,3,BCP 500M RACE #1,,500,5,,KNOT A BREAST,28,1,02:33.3,,1
2025_GWNC,2025-09-06-R03,2025-09-06,8:54 AM,3,BCP 500M RACE #1,,500,6,,Pink Crusaders,16,5,02:53.3,,1
2025_GWNC,2025-09-06-R04,2025-09-06,8:54 AM,4,MIXED 500M QUALIFYING,Qualifying,500,1,,GoPink!DC,27,5,02:36.7,,1
2025_GWNC,2025-09-06-R04,2025-09-06,9:06 AM,4,MIXED 500M QUALIFYING,Qualifying,500,2,,JETAA Fighting Carps,6,2,02:24.6,,1
2025_GWNC,2025-09-06-R04,2025-09-06,9:06 AM,4,MIXED 500M QUALIFYING,Qualifying,500,3,,OPS Uncivil Dragons,46,4,02:35.3,,1
2025_GWNC,2025-09-06-R04,2025-09-06,9:06 AM,4,MIXED 500M QUALIFYING,Qualifying,500,4,,Strength & Honour,77,6,03:10.3,,1
2025_GWNC,2025-09-06-R04,2025-09-06,9:06 AM,4,MIXED 500M QUALIFYING,Qualifying,500,5,,Toronto Running Club ( TRC ),42,3,02:33.1,,1
2025_GWNC,2025-09-06-R04,2025-09-06,9:06 AM,4,MIXED 500M QUALIFYING,Qualifying,500,6,,Holyship,45,1,02:21.6,,1
2025_GWNC,2025-09-06-R05,2025-09-06,9:06 AM,5,MIXED 500M QUALIFYING,Qualifying,500,1,,MOFOS,39,1,02:11.6,,1
2025_GWNC,2025-09-06-R05,2025-09-06,9:18 AM,5,MIXED 500M QUALIFYING,Qualifying,500,2,,Blueberry JAM,72,4,02:53.6,,1
2025_GWNC,2025-09-06-R05,2025-09-06,9:18 AM,5,MIXED 500M QUALIFYING,Qualifying,500,3,,TOHK Chili,10,2,02:15.7,,1
2025_GWNC,2025-09-06-R05,2025-09-06,9:18 AM,5,MIXED 500M QUALIFYING,Qualifying,500,4,,CAATsters Team 1 (S),52,5,03:03.2,,1
2025_GWNC,2025-09-06-R05,2025-09-06,9:18 AM,5,MIXED 500M QUALIFYING,Qualifying,500,5,,The Flamin’ Dragonflies,78,6,03:08.5,,1
2025_GWNC,2025-09-06-R05,2025-09-06,9:18 AM,5,MIXED 500M QUALIFYING,Qualifying,500,6,,PwC Cruisers,33,3,02:34.9,,1
2025_GWNC,2025-09-06-R06,2025-09-06,9:18 AM,6,MIXED 500M QUALIFYING,Qualifying,500,1,,Ready-Paddle-One,75,4,03:01.3,,1
2025_GWNC,2025-09-06-R06,2025-09-06,9:30 AM,6,MIXED 500M QUALIFYING,Qualifying,500,2,,Rowbots,76,3,02:45.1,,1
2025_GWNC,2025-09-06-R06,2025-09-06,9:30 AM,6,MIXED 500M QUALIFYING,Qualifying,500,3,,Ship Disturbers (S),74,6,03:02.1,,1
2025_GWNC,2025-09-06-R06,2025-09-06,9:30 AM,6,MIXED 500M QUALIFYING,Qualifying,500,4,,CAATsters Team 2 (S),53,5,03:01.9,,1
2025_GWNC,2025-09-06-R06,2025-09-06,9:30 AM,6,MIXED 500M QUALIFYING,Qualifying,500,5,,Water Vipers Masters powered by Afterburn Fitness,3,1,02:07.9,,2
2025_GWNC,2025-09-06-R06,2025-09-06,9:30 AM,6,MIXED 500M QUALIFYING,Qualifying,500,6,,True North Leviathan Orange,18,2,02:16.8,,2
2025_GWNC,2025-09-06-R07,2025-09-06,9:30 AM,7,MIXED 500M QUALIFYING,Qualifying,500,1,,Team Transplant,37,3,02:34.4,,2
2025_GWNC,2025-09-06-R07,2025-09-06,9:42 AM,7,MIXED 500M QUALIFYING,Qualifying,500,2,,CSA Beyond 100,71,4,02:39.0,,2
2025_GWNC,2025-09-06-R07,2025-09-06,9:42 AM,7,MIXED 500M QUALIFYING,Qualifying,500,3,,Dragon Babies,79,6,02:59.3,,2
2025_GWNC,2025-09-06-R07,2025-09-06,9:42 AM,7,MIXED 500M QUALIFYING,Qualifying,500,4,,TOHK Garlic,9,2,02:17.0,,2
2025_GWNC,2025-09-06-R07,2025-09-06,9:42 AM,7,MIXED 500M QUALIFYING,Qualifying,500,5,,True North Leviathan Gold,20,1,02:10.1,,2
2025_GWNC,2025-09-06-R07,2025-09-06,9:42 AM,7,MIXED 500M QUALIFYING,Qualifying,500,6,,Serious Contenders,73,5,02:45.7,,2
2025_GWNC,2025-09-06-R08,2025-09-06,9:42 AM,8,MIXED 500M QUALIFYING,Qualifying,500,1,,Toronto Wyvern Club,7,2,02:14.1,,2
