regatta_id,race_id,date,start_time,race_no,event,round,distance_m,lane,seed,team_name,team_id,place,time,page
2025-Sarasota-IDBF,2025-Sarasota-IDBF-1,2025-05-10,8:00 AM,1,Sport Mixed,Qualifying,500,1,,Blazing Paddles (11),11,5,02:19.27,1
2025-Sarasota-IDBF,2025-Sarasota-IDBF-1,2025-05-11,8:00 AM,1,Sport Mixed,Qualifying,500,2,,Jax Fire Dragons (4),4,6,02:21.69,1
2025-Sarasota-IDBF,2025-Sarasota-IDBF-1,2025-05-12,8:00 AM,1,Sport Mixed,Qualifying,500,3,,NBP Dragons (19),19,2,02:09.41,1
2025-Sarasota-IDBF,2025-Sarasota-IDBF-1,2025-05-13,8:00 AM,1,Sport Mixed,Qualifying,500,4,,SACA Golden Dragons (1),1,1,02:08.90,1
2025-Sarasota-IDBF,2025-Sarasota-IDBF-1,2025-05-14,8:00 AM,1,Sport Mixed,Qualifying,500,5,,Red Dragons Miami (22),22,4,02:15.77,1
2025-Sarasota-IDBF,2025-Sarasota-IDBF-1,2025-05-15,8:00 AM,1,Sport Mixed,Qualifying,500,6,,RENEGADES DB RACING TEAM (23),23,3,02:14.24,1
2025-Sarasota-IDBF,2025-Sarasota-IDBF-2,2025-05-16,8:22 AM,2,Sport Women's,Qualifying,500,2,,NBP Survivors In Sync (6),6,3,02:34.70,1
2025-Sarasota-IDBF,2025-Sarasota-IDBF-2,2025-05-17,8:22 AM,2,Sport Women's,Qualifying,500,3,,NBP Senior Women (7),7,2,02:25.15,1
2025-Sarasota-IDBF,2025-Sarasota-IDBF-2,2025-05-18,8:22 AM,2,Sport Women's,Qualifying,500,4,,Charlotte Harbor Dragons (17),17,1,02:23.17,1
2025-Sarasota-IDBF,2025-Sarasota-IDBF-3,2025-05-19,8:44 AM,3,Sport Senior Mixed/Sport Senior Open,Qualifying,500,1,,Draggin' Dragons (18),18,3,02:16.83,1
2025-Sarasota-IDBF,2025-Sarasota-IDBF-3,2025-05-20,8:44 AM,3,Sport Senior Mixed/Sport Senior Open,Qualifying,500,2,,Eastport Sun Dragons (20),20,4,02:18.26,1
2025-Sarasota-IDBF,2025-Sarasota-IDBF-3,2025-05-21,8:44 AM,3,Sport Senior Mixed/Sport Senior Open,Qualifying,500,3,,NBP Senior Mixed (5),5,2,02:13.49,1
2025-Sarasota-IDBF,2025-Sarasota-IDBF-3,2025-05-22,8:44 AM,3,Sport Senior Mixed/Sport Senior Open,Qualifying,500,4,,SACA Golden Dragons Snr (2),2,1,02:13.25,1
2025-Sarasota-IDBF,2025-Sarasota-IDBF-3,2025-05-23,8:44 AM,3,Sport Senior Mixed/Sport Senior Open,Qualifying,500,6,,Blackheart Senior Open (24),24,1,02:17.02,1
2025-Sarasota-IDBF,2025-Sarasota-IDBF-4,2025-05-24,9:06 AM,4,Community Mixed/Community Women's,Qualifying,500,1,,Dueling Dragons 2 (13),13,3,02:52.25,1
2025-Sarasota-IDBF,2025-Sarasota-IDBF-4,2025-05-25,9:06 AM,4,Community Mixed/Community Women's,Qualifying,500,2,,Dueling Dragons of Orlando (12),12,4,02:54.91,1
2025-Sarasota-IDBF,2025-Sarasota-IDBF-4,2025-05-26,9:06 AM,4,Community Mixed/Community Women's,Qualifying,500,3,,F45 Lakewood Ranch South (8),8,1,02:25.35,1
2025-Sarasota-IDBF,2025-Sarasota-IDBF-4,2025-05-27,9:06 AM,4,Community Mixed/Community Women's,Qualifying,500,4,,Sync or Swim (9),9,2,02:45.88,1
2025-Sarasota-IDBF,2025-Sarasota-IDBF-4,2025-05-28,9:06 AM,4,Community Mixed/Community Women's,Qualifying,500,6,,Women Warriors (16),16,1,02:48.75,1
2025-Sarasota-IDBF,2025-Sarasota-IDBF-5,2025-05-29,9:28 AM,5,Community Open,Race #1,500,2,,GG Schmitt Show (10),10,1,02:43.66,1
2025-Sarasota-IDBF,2025-Sarasota-IDBF-5,2025-05-30,9:28 AM,5,Community Open,Race #1,500,3,,Marine Concepts Team 3 (21),21,,04:44.44,1
2025-Sarasota-IDBF,2025-Sarasota-IDBF-5,2025-05-31,9:28 AM,5,Community Open,Race #1,500,4,,Marine Concepts Team 1 (14),14,2,02:52.46,1
2025-Sarasota-IDBF,2025-Sarasota-IDBF-5,2025-06-01,9:28 AM,5,Community Open,Race #1,500,5,,Marine Concepts Team 2 (15),15,3,02:53.32,1
2025-Sarasota-IDBF,2025-Sarasota-IDBF-6,2025-06-02,9:49 AM,6,Sport Mixed,Final,500,1,6,Jax Fire Dragons (4),4,6,02:22.35,1
2025-Sarasota-IDBF,2025-Sarasota-IDBF-6,2025-06-03,9:49 AM,6,Sport Mixed,Final,500,2,4,Red Dragons Miami (22),22,4,02:13.21,1
2025-Sarasota-IDBF,2025-Sarasota-IDBF-6,2025-06-04,9:49 AM,6,Sport Mixed,Final,500,3,2,NBP Dragons (19),19,2,02:09.60,1
2025-Sarasota-IDBF,2025-Sarasota-IDBF-6,2025-06-05,9:49 AM,6,Sport Mixed,Final,500,4,1,SACA Golden Dragons (1),1,1,02:09.31,1
2025-Sarasota-IDBF,2025-Sarasota-IDBF-6,2025-06-06,9:49 AM,6,Sport Mixed,Final,500,5,3,RENEGADES DB RACING TEAM (23),23,3,02:10.81,1
2025-Sarasota-IDBF,2025-Sarasota-IDBF-6,2025-06-07,9:49 AM,6,Sport Mixed,Final,500,6,5,Blazing Paddles (11),11,5,02:16.93,1
2025-Sarasota-IDBF,2025-Sarasota-IDBF-7,2025-06-08,10:10 AM,7,Sport Women's,Final,500,3,2,NBP Senior Women (7),7,1,02:22.59,2
2025-Sarasota-IDBF,2025-Sarasota-IDBF-7,2025-06-09,10:10 AM,7,Sport Women's,Final,500,4,1,Charlotte Harbor Dragons (17),17,2,02:22.99,2
2025-Sarasota-IDBF,2025-Sarasota-IDBF-7,2025-06-10,10:10 AM,7,Sport Women's,Final,500,5,3,NBP Survivors In Sync (6),6,3,02:32.28,2
