regatta_id,race_id,date,start_time,race_no,event,round,distance_m,lane,seed,team_name,team_id,place,time,page
2025_CDBC,2025_CDBC-172,2025-08-23,8:00,172,Small (10) Senior B Open,Heat,500,1,,Gorging Dragons Senior B Open,,2,02:17.51,
2025_CDBC,2025_CDBC-172,2025-08-23,8:00,172,Small (10) Senior B Open,Heat,500,2,,PDBC SR B Open,,1,02:17.33,
2025_CDBC,2025_CDBC-172,2025-08-23,8:00,172,Small (10) Senior B Open,Heat,500,3,,Dragon Beasts,,4,02:19.93,
2025_CDBC,2025_CDBC-172,2025-08-23,8:00,172,Small (10) Senior B Open,Heat,500,4,,H2o - Senior B Open (Small),,3,02:19.22,
2025_CDBC,2025_CDBC-172,2025-08-23,8:00,172,Small (10) Senior B Open,Heat,500,5,,22D Senior B Open SM,,5,02:20.92,
2025_CDBC,2025_CDBC-173,2025-08-23,8:06,173,Small (10) 18U Open,Heat,500,3,,22D 18U Whalers SM,,1,02:25.60,
2025_CDBC,2025_CDBC-173,2025-08-23,8:06,173,Small (10) 18U Open,Heat,500,4,,H2o Fujian Junior Open (Small),,2,02:32.20,
2025_CDBC,2025_CDBC-174,2025-08-23,8:12,174,"Standard (20) Premier, Senior B Open",Heat 1,500,1,,NDRC Orcas,,1,01:59.73,
2025_CDBC,2025_CDBC-174,2025-08-23,8:12,174,"Standard (20) Premier, Senior B Open",Heat 1,500,2,,Liquid LaGoons,,2,02:00.45,
2025_CDBC,2025_CDBC-174,2025-08-23,8:12,174,"Standard (20) Premier, Senior B Open",Heat 1,500,4,,CSDC Senior B Open,,3,02:08.83,
2025_CDBC,2025_CDBC-174,2025-08-23,8:12,174,"Standard (20) Premier, Senior B Open",Heat 1,500,5,,Ottawa Dragon Masters B Open,,4,02:09.32,
2025_CDBC,2025_CDBC-175,2025-08-23,8:18,175,Standard (20) Premier Open,Heat 2,500,1,,PDBC Big Dogs,,4,02:02.00,
2025_CDBC,2025_CDBC-175,2025-08-23,8:18,175,Standard (20) Premier Open,Heat 2,500,2,,True North SLP Premier Open,,3,02:01.23,
2025_CDBC,2025_CDBC-175,2025-08-23,8:18,175,Standard (20) Premier Open,Heat 2,500,4,,Dragon Zone Premier Open,,1,01:59.96,
2025_CDBC,2025_CDBC-175,2025-08-23,8:18,175,Standard (20) Premier Open,Heat 2,500,5,,22D Premier Open,,2,02:00.25,
2025_CDBC,2025_CDBC-175,2025-08-23,8:18,175,Standard (20) Premier Open,Heat 2,500,6,,H2o - Premier Open (STD),,5,02:04.96,
2025_CDBC,2025_CDBC-176,2025-08-23,8:24,176,"Small (10) 18U, Senior D Women",Heat,500,1,,22D Juniors Angelfish SM,,3,02:40.40,
2025_CDBC,2025_CDBC-176,2025-08-23,8:24,176,"Small (10) 18U, Senior D Women",Heat,500,2,,H2o - Junior Femmes (Small),,4,02:43.58,
2025_CDBC,2025_CDBC-176,2025-08-23,8:24,176,"Small (10) 18U, Senior D Women",Heat,500,3,,H2o Fujian Junior Femmes (Small),,1,02:37.86,
2025_CDBC,2025_CDBC-176,2025-08-23,8:24,176,"Small (10) 18U, Senior D Women",Heat,500,4,,Bytown Super D's,,2,02:40.24,
2025_CDBC,2025_CDBC-176,2025-08-23,8:24,176,"Small (10) 18U, Senior D Women",Heat,500,5,,Gorging Dragons Senior D Women,,5,02:46.70,
2025_CDBC,2025_CDBC-177,2025-08-23,8:30,177,Small (10) Premier Open,Heat,500,1,,FCRCC Premier Open,,4,02:18.00,
2025_CDBC,2025_CDBC-177,2025-08-23,8:30,177,Small (10) Premier Open,Heat,500,2,,Liquid LaGoonies,,3,02:17.50,
2025_CDBC,2025_CDBC-177,2025-08-23,8:30,177,Small (10) Premier Open,Heat,500,3,,Immortals,,5,02:18.73,
2025_CDBC,2025_CDBC-177,2025-08-23,8:30,177,Small (10) Premier Open,Heat,500,4,,H2oQc - Premier Open (Small),,2,02:17.15,
