regatta_id,race_id,date,start_time,race_no,event,round,distance_m,lane,seed,team_name,team_id,place,time,page
2025_Mercer_DBF,2025_Mercer_DBF_R1,2025-09-13,7:45 AM,1,SPORT MIXED,QUALIFYING,200,1,,Fairmount Park Commodores,4,6,00:53.7,1
2025_Mercer_DBF,2025_Mercer_DBF_R1,2025-09-13,7:45 AM,1,SPORT MIXED,QUALIFYING,200,2,,Boston 1 Dragon Boat,6,2,00:48.5,1
2025_Mercer_DBF,2025_Mercer_DBF_R1,2025-09-13,7:45 AM,1,SPORT MIXED,QUALIFYING,200,3,,PKU Alumni Team - Yaran,9,4,00:50.0,1
2025_Mercer_DBF,2025_Mercer_DBF_R1,2025-09-13,7:45 AM,1,SPORT MIXED,QUALIFYING,200,4,,DC Dragons Performance,16,5,00:51.9,1
2025_Mercer_DBF,2025_Mercer_DBF_R1,2025-09-13,7:45 AM,1,SPORT MIXED,QUALIFYING,200,5,,DC Dragon Boat Club Capitol Thunder,23,3,00:49.7,1
2025_Mercer_DBF,2025_Mercer_DBF_R1,2025-09-13,7:45 AM,1,SPORT MIXED,QUALIFYING,200,6,,Wolfpack Racing Club - Black,28,1,00:47.9,1
2025_Mercer_DBF,2025_Mercer_DBF_R2,2025-09-13,7:54 AM,2,SPORT MIXED,QUALIFYING,200,1,,Boston Storm Dragonboat Club,29,1,00:48.4,1
2025_Mercer_DBF,2025_Mercer_DBF_R2,2025-09-13,7:54 AM,2,SPORT MIXED,QUALIFYING,200,2,,Bucks Freedom Mixed,30,4,00:55.2,1
2025_Mercer_DBF,2025_Mercer_DBF_R2,2025-09-13,7:54 AM,2,SPORT MIXED,QUALIFYING,200,3,,Relentless Mixed 1,40,3,00:50.6,1
2025_Mercer_DBF,2025_Mercer_DBF_R2,2025-09-13,7:54 AM,2,SPORT MIXED,QUALIFYING,200,4,,Relentless Passion,44,5,00:56.4,1
2025_Mercer_DBF,2025_Mercer_DBF_R2,2025-09-13,7:54 AM,2,SPORT MIXED,QUALIFYING,200,5,,Relentless Warriors,45,6,00:56.7,1
2025_Mercer_DBF,2025_Mercer_DBF_R2,2025-09-13,7:54 AM,2,SPORT MIXED,QUALIFYING,200,6,,United East Athletics Association (UEAA) - Going Merry,57,2,00:48.5,1
2025_Mercer_DBF,2025_Mercer_DBF_R3,2025-09-13,8:03 AM,3,SPORT MIXED,QUALIFYING,200,1,,Catch22 Premier Mixed,58,1,00:48.3,1
2025_Mercer_DBF,2025_Mercer_DBF_R3,2025-09-13,8:03 AM,3,SPORT MIXED,QUALIFYING,200,2,,United East Athletics Association (UEAA) - Thousand Sunny,62,5,00:53.1,1
2025_Mercer_DBF,2025_Mercer_DBF_R3,2025-09-13,8:03 AM,3,SPORT MIXED,QUALIFYING,200,3,,Wolfpack Racing Club - Pink,66,6,00:53.3,1
2025_Mercer_DBF,2025_Mercer_DBF_R3,2025-09-13,8:03 AM,3,SPORT MIXED,QUALIFYING,200,4,,Boston Storm - Hurricane,69,4,00:53.0,1
2025_Mercer_DBF,2025_Mercer_DBF_R3,2025-09-13,8:03 AM,3,SPORT MIXED,QUALIFYING,200,5,,Ohana New England - Next ONE,73,2,00:52.6,1
