regatta_id,race_id,date,start_time,race_no,event,round,distance_m,lane,seed,team_name,team_id,place,time,page
2025_New_York_IDBF_Results_Final,2025_New_York_IDBF_Results_Final_R1,,8:30 AM,1,SPORT MIXED,QUALIFYING,500,1,,OPA LL Legacy,9,5,02:29.18,1
2025_New_York_IDBF_Results_Final,2025_New_York_IDBF_Results_Final_R1,,8:30 AM,1,SPORT MIXED,QUALIFYING,500,2,,Catch22 Premier Mixed,19,1,02:01.70,1
2025_New_York_IDBF_Results_Final,2025_New_York_IDBF_Results_Final_R1,,8:30 AM,1,SPORT MIXED,QUALIFYING,500,3,,Ithaca Gorges Dragons,18,2,02:16.64,1
2025_New_York_IDBF_Results_Final,2025_New_York_IDBF_Results_Final_R1,,8:30 AM,1,SPORT MIXED,QUALIFYING,500,4,,JPMCDBFF Azure Dragons,13,3,02:22.29,1
2025_New_York_IDBF_Results_Final,2025_New_York_IDBF_Results_Final_R1,,8:30 AM,1,SPORT MIXED,QUALIFYING,500,5,,Morgan Stanley Sea Warriors,3,4,02:24.64,1
2025_New_York_IDBF_Results_Final,2025_New_York_IDBF_Results_Final_R2,,8:54 AM,2,SPORT MIXED,QUALIFYING,500,1,,Boston Storm Dragonboat Club,14,1,02:05.57,1
2025_New_York_IDBF_Results_Final,2025_New_York_IDBF_Results_Final_R2,,8:54 AM,2,SPORT MIXED,QUALIFYING,500,2,,OPA TW Legacy,8,3,02:14.42,1
2025_New_York_IDBF_Results_Final,2025_New_York_IDBF_Results_Final_R2,,8:54 AM,2,SPORT MIXED,QUALIFYING,500,3,,VAX Dragon Boat,20,4,02:24.40,1
2025_New_York_IDBF_Results_Final,2025_New_York_IDBF_Results_Final_R2,,8:54 AM,2,SPORT MIXED,QUALIFYING,500,4,,Xtreme NY,7,2,02:12.00,1
2025_New_York_IDBF_Results_Final,2025_New_York_IDBF_Results_Final_R3,,9:18 AM,3,SPORT WOMEN'S/OPEN,QUALIFYING,500,1,,Empire Dragons NYC Spirit,6,2,02:34.47,1
2025_New_York_IDBF_Results_Final,2025_New_York_IDBF_Results_Final_R3,,9:18 AM,3,SPORT WOMEN'S/OPEN,QUALIFYING,500,2,,Schuylkill Dragons Purple,2,1,02:19.02,1
2025_New_York_IDBF_Results_Final,2025_New_York_IDBF_Results_Final_R3,,9:18 AM,3,SPORT WOMEN'S/OPEN,QUALIFYING,500,3,,East Dragons,1,1,02:00.18,1
2025_New_York_IDBF_Results_Final,2025_New_York_IDBF_Results_Final_R3,,9:18 AM,3,SPORT WOMEN'S/OPEN,QUALIFYING,500,4,,Philadelphia Police Boat Team,10,2,02:10.66,1
2025_New_York_IDBF_Results_Final,2025_New_York_IDBF_Results_Final_R4,,9:42 AM,4,COMMUNITY WOMEN'S,#1,500,2,,Dragons Alive,5,2,02:25.67,1
