regatta_id,race_id,date,start_time,race_no,event,round,distance_m,lane,seed,team_name,team_id,place,time,page
2025_HAMDBF,2025_HAMDBF-1,2025-07-05,8:00,1,Mixed Small Division,,500,1,,TRPC,,4,02:47.2,1
2025_HAMDBF,2025_HAMDBF-1,2025-07-05,8:00,1,Mixed Small Division,,500,2,,Lively Thunder,,2,02:38.4,1
2025_HAMDBF,2025_HAMDBF-1,2025-07-05,8:00,1,Mixed Small Division,,500,3,,SOB Submarines,,3,02:44.3,1
2025_HAMDBF,2025_HAMDBF-1,2025-07-05,8:00,1,Mixed Small Division,,500,4,,PDBC Hana Nui Red,,1,02:29.1,1
2025_HAMDBF,2025_HAMDBF-2,2025-07-05,8:12,2,Mixed Small Division,,500,1,,GDBC Simcoe Flyers,,4,03:00.0,1
2025_HAMDBF,2025_HAMDBF-2,2025-07-05,8:12,2,Mixed Small Division,,500,2,,PDBC Sr A Mixed,,1,02:20.7,1
2025_HAMDBF,2025_HAMDBF-2,2025-07-05,8:12,2,Mixed Small Division,,500,3,,Warlock Mixed Crew,,2,02:35.7,1
2025_HAMDBF,2025_HAMDBF-2,2025-07-05,8:12,2,Mixed Small Division,,500,4,,CSDC Sr D Mixed,,3,02:44.7,1
2025_HAMDBF,2025_HAMDBF-3,2025-07-05,8:24,3,Mixed Division,,500,1,,Tribal Aloha,,4,02:25.0,1
2025_HAMDBF,2025_HAMDBF-3,2025-07-05,8:24,3,Mixed Division,,500,2,,Jordan Harbour Hooligans,,5,02:45.3,1
2025_HAMDBF,2025_HAMDBF-3,2025-07-05,8:24,3,Mixed Division,,500,3,,Quicksilver,,2,02:24.0,1
2025_HAMDBF,2025_HAMDBF-3,2025-07-05,8:24,3,Mixed Division,,500,4,,Fuzhou University Dragonboat Club,,1,02:10.2,1
2025_HAMDBF,2025_HAMDBF-3,2025-07-05,8:24,3,Mixed Division,,500,5,,SNCC Canal Dragons Canal Dragons,,3,02:24.7,1
2025_HAMDBF,2025_HAMDBF-4,2025-07-05,8:36,4,Mixed Division,,500,1,,Shepherd's Fire,,4,02:39.8,1
2025_HAMDBF,2025_HAMDBF-4,2025-07-05,8:36,4,Mixed Division,,500,2,,PDBC Blazing Blue Dragons,,3,02:26.4,1
2025_HAMDBF,2025_HAMDBF-4,2025-07-05,8:36,4,Mixed Division,,500,3,,Mojos,,1,02:17.1,2
2025_HAMDBF,2025_HAMDBF-4,2025-07-05,8:36,4,Mixed Division,,500,4,,Guelph Gryphons Dragon Boat Club,,2,02:21.5,2
2025_HAMDBF,2025_HAMDBF-4,2025-07-05,8:36,4,Mixed Division,,500,5,,OPS Star Oars,,5,02:43.0,2
2025_HAMDBF,2025_HAMDBF-5,2025-07-05,8:48,5,Mixed Division,,500,1,,Raging Dragons of Chatham Kent,,5,02:39.4,2
2025_HAMDBF,2025_HAMDBF-5,2025-07-05,8:48,5,Mixed Division,,500,2,,Collingwood Sidelaunchers Georgian,,3,02:24.4,2
2025_HAMDBF,2025_HAMDBF-5,2025-07-05,8:48,5,Mixed Division,,500,3,,CSDC srC,,2,02:09.6,2
