regatta_id,race_id,date,start_time,race_no,event,round,distance_m,lane,seed,team_name,team_id,place,time,page
2025_PORT_PERRY_DRAGON_BOAT_FESTIVAL,2025_PORT_PERRY_DRAGON_BOAT_FESTIVAL-1,,10:00,1,Women's Division,Heat,200,2,,Life Savers,,3,1:24.58,
2025_PORT_PERRY_DRAGON_BOAT_FESTIVAL,2025_PORT_PERRY_DRAGON_BOAT_FESTIVAL-1,,10:00,1,Women's Division,Heat,200,3,,The Dragon Flies,,2,1:17.34,
2025_PORT_PERRY_DRAGON_BOAT_FESTIVAL,2025_PORT_PERRY_DRAGON_BOAT_FESTIVAL-1,,10:00,1,Women's Division,Heat,200,4,,Flaming Dragons,,1,1:15.64,
2025_PORT_PERRY_DRAGON_BOAT_FESTIVAL,2025_PORT_PERRY_DRAGON_BOAT_FESTIVAL-2,,10:15,2,Women's Division,Heat,200,2,,North End Storm,,2,1:19.61,
2025_PORT_PERRY_DRAGON_BOAT_FESTIVAL,2025_PORT_PERRY_DRAGON_BOAT_FESTIVAL-2,,10:15,2,Women's Division,Heat,200,3,,Greased Lightning,,3,1:23.38,
2025_PORT_PERRY_DRAGON_BOAT_FESTIVAL,2025_PORT_PERRY_DRAGON_BOAT_FESTIVAL-2,,10:15,2,Women's Division,Heat,200,4,,Lagoon City Dragon Boat Club,,1,1:19.51,
2025_PORT_PERRY_DRAGON_BOAT_FESTIVAL,2025_PORT_PERRY_DRAGON_BOAT_FESTIVAL-3,,10:30,3,Women's Division,Heat,200,2,,Barrie's Ribbons of Hope,,3,1:25.01,
2025_PORT_PERRY_DRAGON_BOAT_FESTIVAL,2025_PORT_PERRY_DRAGON_BOAT_FESTIVAL-3,,10:30,3,Women's Division,Heat,200,3,,Lotus Dragons,,1,1:22.88,
2025_PORT_PERRY_DRAGON_BOAT_FESTIVAL,2025_PORT_PERRY_DRAGON_BOAT_FESTIVAL-3,,10:30,3,Women's Division,Heat,200,4,,WonderBroads,,2,1:24.18,
2025_PORT_PERRY_DRAGON_BOAT_FESTIVAL,2025_PORT_PERRY_DRAGON_BOAT_FESTIVAL-4,,10:45,4,Mixed Division,Heat,200,1,,GDBC Simcoe Flyers,,1,1:11.20,
2025_PORT_PERRY_DRAGON_BOAT_FESTIVAL,2025_PORT_PERRY_DRAGON_BOAT_FESTIVAL-4,,10:45,4,Mixed Division,Heat,200,2,,Paddle Avengers,,3,1:17.63,
2025_PORT_PERRY_DRAGON_BOAT_FESTIVAL,2025_PORT_PERRY_DRAGON_BOAT_FESTIVAL-4,,10:45,4,Mixed Division,Heat,200,3,,Scugog Islanders,,2,1:14.54,
2025_PORT_PERRY_DRAGON_BOAT_FESTIVAL,2025_PORT_PERRY_DRAGON_BOAT_FESTIVAL-4,,10:45,4,Mixed Division,Heat,200,4,,RainbowFire,,4,1:20.18,
2025_PORT_PERRY_DRAGON_BOAT_FESTIVAL,2025_PORT_PERRY_DRAGON_BOAT_FESTIVAL-5,,11:00,5,Mixed Division,Heat,200,1,,Durham Dragons,,4,1:17.47,
2025_PORT_PERRY_DRAGON_BOAT_FESTIVAL,2025_PORT_PERRY_DRAGON_BOAT_FESTIVAL-5,,11:00,5,Mixed Division,Heat,200,2,,A Shore Thing,,1,1:13.17,
2025_PORT_PERRY_DRAGON_BOAT_FESTIVAL,2025_PORT_PERRY_DRAGON_BOAT_FESTIVAL-5,,11:00,5,Mixed Division,Heat,200,3,,Raging Dragons of Chatham Kent,,3,1:16.54,
2025_PORT_PERRY_DRAGON_BOAT_FESTIVAL,2025_PORT_PERRY_DRAGON_BOAT_FESTIVAL-5,,11:00,5,Mixed Division,Heat,200,4,,Paddle Strong,,2,1:14.80,
